First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Barclay,Goodrow,25,R,1,8476624,10,13,2,2,103,113
Brad,Hunt,30,D,0,8476779,4,22,10,0,138,43
Torey,Krug,27,D,0,8476792,13,46,24,1,223,76
J.T.,Brown,28,R,1,8476806,8,10,0,1,82,123
Luke,Glendening,29,C,1,8476822,9,11,0,-2,99,154
Yanni,Gourde,27,C,1,8476826,20,35,12,3,150,54
Ryan,Murray,25,D,0,8476850,5,18,4,2,85,63
Alex,Galchenyuk,24,C,1,8476851,23,34,19,-7,202,39
Morgan,Rielly,24,D,0,8476853,9,38,19,-4,199,56
Hampus,Lindholm,24,D,0,8476854,14,24,11,5,167,105
Matt,Dumba,24,D,0,8476856,12,29,13,-2,183,120
Pontus,Aberg,25,L,1,8476857,10,14,3,0,106,49
Phillip,Di Giuseppe,25,L,1,8476858,10,17,3,-1,120,151
Brendan,Gaunce,24,C,1,8476867,10,9,1,-1,114,116
Brady,Skjei,24,D,0,8476869,6,26,7,-5,154,124
Tanner,Pearson,26,L,1,8476871,20,25,8,1,173,110
Scott,Laughton,24,C,1,8476872,12,17,2,0,114,121
Mark,Jankowski,24,C,1,8476873,17,15,4,1,144,49
Olli,Maatta,24,D,0,8476874,9,21,7,5,158,123
Mike,Matheson,24,D,0,8476875,10,19,5,0,180,64
Zemgus,Girgensons,24,C,1,8476878,12,14,2,-5,129,146
Cody,Ceci,25,D,0,8476879,5,17,3,-7,147,144
Tom,Wilson,24,R,1,8476880,13,20,5,0,130,235
Tomas,Hertl,25,C,1,8476881,23,28,12,2,189,86
Teuvo,Teravainen,24,L,1,8476882,22,38,19,3,188,31
Derrick,Pouliot,24,D,0,8476884,4,24,7,1,106,93
Jacob,Trouba,24,D,0,8476885,9,26,8,3,200,123
Slater,Koekkoek,24,D,0,8476886,5,12,2,1,116,88
Filip,Forsberg,24,L,1,8476887,30,39,24,4,237,93
Radek,Faksa,24,C,1,8476889,17,21,5,4,138,102
Matt,Grzelcyk,24,D,0,8476891,5,18,5,8,123,68
Colton,Parayko,25,D,0,8476892,10,31,11,7,202,110
Brendan,Leipsic,24,L,1,8476894,11,23,5,-2,137,55
Oskar,Sundqvist,24,C,1,8476897,8,11,1,2,78,98
Esa,Lindell,24,D,0,8476902,8,21,7,2,145,97
Chandler,Stephenson,24,C,1,8476905,6,13,0,1,67,45
Shayne,Gostisbehere,25,D,0,8476906,14,46,27,0,232,51
Devin,Shore,24,C,1,8476913,14,24,8,-3,128,71
