Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
217,Magnus,Paajarvi,OTT,LW,-76,77,10,11,-10,128,0,102
218,Jason,Spezza,DAL,C/RW,-76,65,9,16,0,144,6,11
219,Antoine,Roussel,VAN,LW,-77,72,11,14,0,94,0,100
220,Brett,Connolly,WSH,LW,-77,70,15,14,0,83,0,92
221,Martin,Frk,DET,LW/RW,-77,72,13,17,-10,104,0,79
222,Luke,Glendening,DET,C/RW,-78,74,8,11,-10,83,0,147
223,Jujhar,Khaira,EDM,C/LW,-78,72,9,11,0,75,0,135
224,Jordan,Martinook,CAR,LW,-78,78,8,13,0,108,0,98
225,Troy,Brouwer,FLA,LW/RW,-78,71,8,14,0,94,0,105
226,Matt,Calvert,COL,LW/RW,-78,69,14,14,0,105,0,70
227,Sonny,Milano,CBJ,LW,-79,63,14,15,0,74,7,35
228,Nikolay,Goldobin,VAN,LW/RW,-80,69,12,19,-10,80,8,22
229,Kyle,Clifford,LAK,LW,-81,62,6,8,0,93,0,132
230,Denis,Malgin,FLA,C/RW,-81,61,14,16,0,91,0,63
231,Kasperi,Kapanen,TOR,RW,-81,66,12,11,0,97,0,88
232,Joey,Anderson,NJD,RW,-82,72,10,15,0,83,0,90
233,Loui,Eriksson,VAN,LW/RW,-82,57,10,15,0,121,6,7
234,Remi,Elie,DAL,LW,-82,74,7,16,0,70,0,107
235,Brendan,Leipsic,VAN,LW/RW,-82,62,7,23,0,105,0,42
236,Luke,Kunin,MIN,C/RW,-83,54,12,9,0,91,0,97
237,Tage,Thompson,BUF,RW,-84,62,10,11,-10,85,5,71
238,Jordan,Weal,PHI,LW,-85,72,12,24,-10,105,0,19
239,Scott,Wilson,BUF,C/RW,-86,56,6,10,-10,86,0,123
240,Michael,Raffl,PHI,LW/RW,-86,70,11,9,0,97,0,82
241,Colin,Wilson,COL,LW/RW,-86,64,9,17,0,100,0,50
242,Ivan,Barbashev,STL,C/LW,-86,71,7,19,0,55,0,89
243,Joakim,Nordstrom,BOS,LW,-86,75,4,8,0,93,0,116
244,Melker,Karlsson,SJS,LW,-87,71,11,11,0,86,0,78
245,Ryan,Callahan,TBL,RW,-87,56,4,9,0,100,0,104
246,Jonny,Brodzinski,LAK,RW,-87,65,9,9,0,111,0,72
247,Jacob,De La Rose,MTL,C/LW,-88,62,8,9,-10,55,0,136
248,Jason,Dickinson,DAL,C/LW,-88,71,10,13,0,50,0,99
249,Adam,Erne,TBL,LW,-88,64,7,7,0,89,0,103
250,Spencer,Foo,CGY,C/RW,-89,30,8,7,0,120,4,38
